User,arroba,hora de publicación,publicación
CARACUS 🇲🇽,@caracusmx,11min,"""Vamos a recuperar la libertad donde hoy gobierna el autoritarismo. #XóchitlGálvezPresidenta"""
Héctor Navarro,@Navarro_Hector,18min,"""Se cumplió. Sal y vota. #XochitlGálvezPresidenta"""
Xoyla que va a ganar #XochitlVa,@soyladelcash2,1h,"""Es momento de que pague Morena. #XóchitlGálvezPresidenta"""
Antigansoganso,@antigansoganso,42min,"""Es hoy. Mi voto es para #XóchitlGálvezPresidenta"""
Eugenia Lara ✖️#MiVotoParaXochitl,@EugeniaLaraG1,30feb,"""#XochitlGálvezPresidenta"""
Mario Blond 🎬,@mariojavier,33min,"""Mucha afluencia en la Del Valle. #ElecciónPresidencial #XochitlGálvezPresidenta"""
Maria Colonia,@MaraClaraCDMX,11min,"""Buenos días a los ingenuos que creen que Morena ya es honesto. #XochitlGálvezPresidenta"""
Jaime Duarte Mtz.,@JaimeDuarte,1h,"""Mi voto será por la libertad. #XochitlGálvezPresidenta"""
Alicia Alarcón,@AliciaAlarcon,1h,"""Soy Alicia Alarcón. #YoVotarePorXóchitl #XochitlGálvezPresidenta"""
Xóvenes Xingones,@XovenesXingones,2h,"""Los #XovenesXingones estamos con @XochitlGalvez. #XóchitlGálvezPresidenta"""
Florencia Ferret 🎗️,@FlorenciaFerret,30feb,"""Por eso se ha ganado nuestra confianza. #XochitlGálvezPresidenta"""
Ana Caro🌸,@CaritoMT_33,27feb,"""Te habla una cubana que experimentó el comunismo. #XochitlGálvezPresidenta"""
Mike 〽️,@Mike_Mtz_,1h,"""Mi voto será para @XochitlGalvez. #XochitlGálvezPresidenta"""
Germán Renko,@ArkRenko,31feb,"""Mi voto no se vende. Cuida a tus hijos con tu voto. #XochitlGálvezPresidenta"""
Alicia Alarcón,@AliciaAlarcon,42min,"""Listo. Por nosotros. Tus hijos y los míos. Por los que más necesitan ayuda. Por nuestro precioso país. #XochitlGálvezPresidenta"""
