User,arroba,hora de publicación,publicación
More Sanvel ✖️,@jsv_more,7min,"""En respuesta a @MilleDescubren y @jorcervan #yovotéporxóchitl"""
Coco Rocha,@CocoRochat,8min,"""En respuesta a @Xochitl2024 #YoVotéPorXóchitl"""
Erika López,@ErikaLp09173314,8min,"""En respuesta a @ryo_hermoso #YoVotéPorXochitl"""
omar hidalgo,@omaralberto8049,8min,"""Toda mi confianza por xochitl #YoVotéPorXóchitl"""
MikikisMar,@mikikis,9min,"""#YoVotéPorXóchitl PRESIDENTA!!!!!! Aaaahhh y claro y por @STaboadaMx ALV #NarcoCandidataClaudia68"""
Lilith Noeggerath,@lcenoeggerath,10min,"""En respuesta a @Xochitl2024 #YoVotéPorXochitl"""
LlanasE1,@LlanasE1,10min,"""#YoVotéPorXóchitl Por mejor porvenir 💖💙"""
alejandro lopez,@alejandroloopez,11min,"""#YoVotéPorXóchitl"""
Hugo Pilgrim,@hugopilgrim,12min,"""En este perfil Ya mandamos a chingar a sus madre a #MORENA #YoVotéPorXóchitl #XochitlGálvezPresidenta #XochitlGálvezPresidenta24 #XochitlGálvezPresidentadeMexico #XochitlGálvezPresidente"""
Yassss,@glzmyas,12min,"""#YoVotéPorXóchitl"""
Alberto,@Galvan2317,14min,"""Vamos México #XoxhitlGálvezPresidente2024 #YoVotéPorXóchitl"""
🎸🎷🎵A Sánchez.,@AuroraSnchezS,14min,"""#YoVotéPorXóchitl Porque es la más Xingona"""
Aventura,@linda_flor27,15min,"""Ya ganamos! @MarkoCortes @acostanaranjo @alitomorenoc @XochitlGalvez #YoVotéPorXochitl"""
Ecoco,@e_co_c,17min,"""#XóchitlGálvezPresidenta #EleccionesMéxico2024 #YoVotéPorXóchitl @XochitlGalvez 🇲🇽💓🗳️"""
Luis Ca,@LuisEdmundoo,18min,"""Vamos a recuperar el país y por un futuro mejor #YoVotéPorXóchitl"""
Elguacamole 🥑,@guacamolegreenv,18min,"""Salgan a votar por un México mejor, aún hay tiempo. #EleccionesMéxico2024 #YoVotéPorXochitl #XoxhitlGálvezPresidente2024 #Querérato #VivaMéxico"""
GABRIEL RODRIGUEZ,@gabobringas,18min,"""Mi madre de 97 años de edad. #YoVotePorXochitl"""
Josefo,@Josefo3001,20min,"""#YoVotéPorXóchitl"""
Ing. kachorro,@leon_iga,21min,"""Yo vote por que la democracia continúe !! En @queretaro queremos seguridad y paz !! #YoVotéPorXóchitl"""
Alteza Serenísima,@YoSoySantaAnna,22min,"""#YoVotéPorXóchitl #MorenaYaSeVa"""
CitlaliCG X,@Citlalicg23,23min,"""🩷🩷🩷🩷🤞🤞🤞🤞🩷🩷🩷🩷 #YoVotéPorXochitl #XochitlGálvezPresidenta24 #InundemosLasUrnas #EleccionesMéxico2024"""
Chuy Vázquez Briseño,@chuyvzzbri,23min,"""#YoVotéPorXochitl"""
He Man,@heman400,23min,"""#YoVotéPorXóchitl"""
kike mx libre,@artima123,24min,"""#XóchitlGálvezPresidenta #YoVotarePorXóchitl #YoVotéPorXochitl #VotaMéxico2024 #EleccionesMéxico2024"""
Dul❌🇲🇽♥️,@SwettCandy85,26min,"""#YoVotéPorXóchitl"""
majocornejo,@majocornejo,26min,"""#YoVotéPorXochitl vamos México!!!! #EleccionesMéxico2024"""
Nur Ruiz,@nurrugi,26min,"""Haciendo mi parte, porque Dios hará lo suyo! #XochitlGálvezPresidenta24 #YoVotéPorXóchitl"""
Octavio,@Ocristain,27min,"""COMPARTAN!!!! #YoVotéPorXochitl #EleccionesMéxico2024"""
karla 🐨,@stillcherry_,27min,"""Que bellas tendencias en México 🩷 y tan real la 6 #YoVotéPorXóchitl #EleccionesMéxico2024"""
El Lacra 𝕏,@lacra_jh7,27min,"""En respuesta a @MaxKaiser75 #YoVotéPorXochitl , #NiUnSoloVotoPorMORENA"""
Hugo,@HugoReyGar,27min,"""#YoVotéPorXóchitl"""
elAboGaDo4,@HugoHermanotas,27min,"""Salvando a Mexico @PartidoMorenaMx #yasevan #YoVotarePorXóchitl #YoVotéPorXóchitl"""
J. Raúl Lozano J.,@JRaulLozano,28min,"""#YoVotéPorXochitl #YaVotéporXóchitl y también por @angiemoyam ✌🏽🙌🏼"""
ErikaFG,@ErikaFG11,28min,"""En respuesta a @DiazGonzalo55 #YoVotéPorXochitl"""
Ileana Gonzalez,@IleanaIgondegar,28min,"""En respuesta a @Xochitl2024 #YoVotéPorXóchitl"""
Erika López,@ErikaLp09173314,28min,"""En respuesta a @manuel_alamilla y @DiazGonzalo55 #YoVotéPorXochitl"""
Samantha 🌈✨,@SammEElaJergi,29min,"""#YoVotéPorXóchitl 🎉🤞🏻"""
