User,arroba,hora de publicación,publicación
Ivonne L d K,@IvonneLdK,08:16,"""Histórico. Si ella es valiente defendiendo su fe, ¿cuánto más para defender a los mexicanos? #XochitlGálvezPresidenta"""
Leon Vega X,@LeonV3ga,08:21,"""No olvides que este gobierno causó la muerte de 800,000 mexicanos en la pandemia. Sal a votar. #XochitlGálvezPresidenta"""
Juan Ma,@jmendezc1,08:29,"""Llegó el día de cambiar el futuro. Llegó la hora de botarlos. #XóchitlGálvezPresidenta"""
Super RoLIC 💡👑💄🇲🇽 🇺🇦,@Lic12Rosio,08:07,"""Nadie para este tsunami ROSA en Nuevo León. #XóchitlGálvezPresidenta"""
Antonio Wolf Bot,@gog_antonio,08:18,"""Misión cumplida. Voto mata encuesta. #XochitlGálvezPresidenta"""
Alfred M 🐕🇲🇽,@alfred13ts,08:26,"""Hoy se manda a chingar a su madre a Morena. #XóchitlGálvezPresidenta"""
ꪶꪊꪀꪖ ؃ ᥫ᭡,@LunaDeCafe,08:38,"""Listo. #XóchitlGálvezPresidenta"""
Xavier Tello, MD,08:35,"""45min,Listo. #XochitlGálvezPresidenta"""
El AventureroX con X🔥,@AventureroSoyYo,08:54,"""Hoy gana Xóchitl. #XóchitlGálvezPresidenta"""
CARACUS 🇲🇽,@caracusmx,08:49,"""Vamos a recuperar la libertad donde hoy gobierna el autoritarismo. #XóchitlGálvezPresidenta"""
Héctor Navarro,@Navarro_Hector,08:42,"""Se cumplió. Sal y vota. #XochitlGálvezPresidenta"""
Xoyla que va a ganar #XochitlVa,@soyladelcash2,08:38,"""Es momento de que pague Morena. #XóchitlGálvezPresidenta"""
Antigansoganso,@antigansoganso,08:18,"""Es hoy. Mi voto es para #XóchitlGálvezPresidenta"""
Eugenia Lara ✖️#MiVotoParaXochitl,@EugeniaLaraG1,08:02,"""#XochitlGálvezPresidenta"""
Mario Blond 🎬,@mariojavier,08:27,"""Mucha afluencia en la Del Valle. #ElecciónPresidencial #XochitlGálvezPresidenta"""
Maria Colonia,@MaraClaraCDMX,08:49,"""Buenos días a los ingenuos que creen que Morena ya es honesto. #XochitlGálvezPresidenta"""
Jaime Duarte Mtz.,@JaimeDuarte,08:00,"""Mi voto será por la libertad. #XochitlGálvezPresidenta"""
Alicia Alarcón,@AliciaAlarcon,08:07,"""Soy Alicia Alarcón. #YoVotarePorXóchitl #XochitlGálvezPresidenta"""
Xóvenes Xingones,@XovenesXingones,08:03,"""Los #XovenesXingones estamos con @XochitlGalvez. #XóchitlGálvezPresidenta"""
Florencia Ferret 🎗️,@FlorenciaFerret,08:18,"""Por eso se ha ganado nuestra confianza. #XochitlGálvezPresidenta"""
Ana Caro🌸,@CaritoMT_33,08:49,"""Te habla una cubana que experimentó el comunismo. #XochitlGálvezPresidenta"""
Mike 〽️,@Mike_Mtz_,08:36,"""Mi voto será para @XochitlGalvez. #XochitlGálvezPresidenta"""
Germán Renko,@ArkRenko,08:02,"""Mi voto no se vende. Cuida a tus hijos con tu voto. #XochitlGálvezPresidenta"""
Alicia Alarcón,@AliciaAlarcon,08:18,"""Listo. Por nosotros. Tus hijos y los míos. Por los que más necesitan ayuda. Por nuestro precioso país. #XochitlGálvezPresidenta"""
Victor,@Victor11878,08:29,"""Saluden a los observadores de la Coalición. Aquí en Miguel Hidalgo hay 8 de Morena y solo 1 del PAN. #XochitlGálvezPresidenta"""
Paloma 🇲🇽❤🇲🇽,@Edalimx,08:06,"""Tengo nervios y miedo pero mucha esperanza. Vamos a ganar. #XochitlGálvezPresidenta #VotaSinMiedo"""
Ernesto Castrejon Ruiz,@ErnestoCastre12,08:17,"""Cumpliendo con mi México, ya votamos toda mi familia y yo. Salvemos a México. #XochitlGálvezPresidenta"""
Verónica X 🍎,@draveropdeg,08:56,"""Que alivio que ya se va. #XochitlGálvezPresidenta"""
Laura 🌸,@LauraMex,08:54,"""Hoy todos somos soldados defendiendo nuestra Democracia. #EleccionesMéxico2024 #XochitlGálvezPresidenta"""
Ricardito,@RicarditoAnaya,08:16,"""El de López Obrador pasará a la historia como el Gobierno que entregó México al Crimen Org.! #XochitlGálvezPresidenta"""
Alfebucateca,@alfebucateca1,08:02,"""Entiende estas elecciones. Todos a salir a votar. #XochitlGálvezPresidenta #ByeByeMorena"""
Mrs. Hyde,@MrsHydeMEX,08:06,"""Laptop, cargadores, lentes, camiseta. Listo para llevar a @XochitlGalvez. #XochitlGálvezPresidenta"""
Germán Renko,@ArkRenko,08:15,"""Vota sin miedo. No les va a alcanzar ni todo el dinero que se robaron. #XochitlGálvezPresidenta"""
Juan Carlos,@JuanCarM17,08:41,"""Votemos masivamente por @XochitlGalvez para recuperar México. #XochitlGálvezPresidenta"""
