"num_debate","canal","username","fecha","comentario","num_likes","comentario_editado"
"2.0","unotv","user-if9yr6uw6n","28/04/2024","Los valores son importantes no puedes poner sobrenombres sra Xóchitl en algún momento les dijiste a las personas huevonas y hasta te lo aplaude Fox que vive bien por los salarios que percibe aún por haber sido presidente y qué lo que prometio no hizo nada perdón si lo hizo le dio vida de Reyna a su Martitha e hijos mmmmm","0.0","los valores son importantes no puedes poner sobrenombres señora xochitl en algún momento les dijiste a las personas huevonas y hasta te lo aplaude fox que vive bien por los salarios que percibe aún por haber sido presidente y qué lo que prometio no hizo nada perdón si lo hizo le dio vida de reyna a su martitha e hijos mmmmm"
"2.0","unotv","asheyruiz5705","28/04/2024","Por qué nadie habla de Maynez, trae muy buenas propuestas, las candidatas nada más pelean entre ellas y Maynez si está enfocado en las propuestas","4.0","por qué nadie habla de maynez,trae muy buenas propuestas,las candidatas nada más pelean entre ellas y maynez si está enfocado en las propuestas"
"2.0","unotv","josejuanlagunes2520","28/04/2024","Vamos con Claudia, no hay más!!!","25.0","vamos con claudia,no hay más!!!"
"2.0","unotv","josealberto-bx9fl","28/04/2024","Que bueno Claudia que te diste tu lugar y no caer en sus juegos de Xochitl 2:00:45 2:00:52 2:00:56","1.0","que bueno claudia que te diste tu lugar y no caer en sus juegos de xochitl 2:00:45 2:00:52 2:00:56"
"2.0","unotv","angelojeda7069","28/04/2024","UN AUDIO DE LA COCHIL INTERRUMPE AL CANDIDATO DE MC","3.0","un audio de la xochitl interrumpe al candidato de mc"
"2.0","unotv","AzucenaReyes-vg5fm","28/04/2024","Xochitl nomas atacando y ofendiendo como cae mal","11.0","xochitl nomas atacando y ofendiendo como cae mal"
"2.0","unotv","JibranTovar","28/04/2024","Algo que me parece extraño es que aún con todo el repudio que genera la candidata X aún en la encuesta que está en internet sobre los candidatos está arriba del candidato Jorge Maynez se me hace muy extraño pues me encuentro con muchos comentarios que no apoyan ni en lo más mínimo a la candidata X","0.0","algo que me parece extraño es que aún con todo el repudio que genera la candidata x aún en la encuesta que está en internet sobre los candidatos está arriba del candidato jorge maynez se me hace muy extraño pues me encuentro con muchos comentarios que no apoyan ni en lo más mínimo a la candidata x"
"2.0","unotv","claudiaedithsolisloera202","28/04/2024","Porque se interrumpió el minuto final de MAYTEZ CON XOCHILT?","0.0","porque se interrumpió el minuto final de maynez con xochitl?"
"2.0","unotv","javiervargas6394","28/04/2024","Por que le quitaron el audio a jorge en su mensage final y ponen el audio de la botarga","1.0","por que le quitaron el audio a jorge en su mensage final y ponen el audio de la botarga"
"2.0","unotv","blanquisfernandezfigueiras4646","28/04/2024","Cómo sería feliz Dante  Delgado si tuviera en sus manos la riqueza de este país Veracruz no olvida,  NO HIZO NADA Y APROVECHÓ EL PRESUPUESTO, NO PARA VERACRUZ ---- Dante  nunca ganará  la  presidencia de México,","1.0","cómo sería feliz dante delgado si tuviera en sus manos la riqueza de este país veracruz no olvida,no hizo nada y aprovechó el presupuesto,no para veracruz----dante nunca ganará la presidencia de méxico,"
"2.0","unotv","alejandraferegrinoquiroz2131","28/04/2024","Xóchitl cada que le pregunta algo, da su peque explicación o intento de explicación, ni propuestas bien son, pero tarda más echando tierra a Claudia .  Hasta Maynez lo hizo bien","0.0","xochitl cada que le pregunta algo,da su peque explicación o intento de explicación,ni propuestas bien son,pero tarda más echando tierra a claudia.hasta maynez lo hizo bien"
"2.0","unotv","limonferrercuin5179","28/04/2024","Si la mayoría gana el mínimo y no le cobra impuestos, que me diga la Sra Xochitl con que pagará pensiones y más cosas? Que sería del país si pocos pagaran impuestos ?","4.0","si la mayoría gana el mínimo y no le cobra impuestos,que me diga la señora xochitl con que pagará pensiones y más cosas?que sería del país si pocos pagaran impuestos?"
"2.0","unotv","kindredalana8261","28/04/2024","Aqui en tlax la gas esta en 22 premium y 20 regular","2.0","aqui en tlax la gas esta en 22 premium y 20 regular"
"2.0","unotv","marcazares0707","28/04/2024","Quiten a la del huipil de enfrente, es la perdedora.","3.0","quiten a la del huipil de enfrente,es la perdedora."
"2.0","unotv","josealberto-bx9fl","28/04/2024","Que bueno Claudia que te diste tu lugar y no caer en sus juegos de Xochitl","1.0","que bueno claudia que te diste tu lugar y no caer en sus juegos de xochitl"
"2.0","unotv","leticiachoza497","28/04/2024","Imagínense una presidenta con ese temperamento y ese vocabulario!!! Que poco ética!!! Enseñando el cobre casi le quiere pegar a la Dra. Claudia Shembaum. Ay no cuanta naquesss","2.0","imagínense una presidenta con ese temperamento y ese vocabulario!!!que poco ética!!!enseñando el cobre casi le quiere pegar a la doctora.claudia sheinbaum.ay no cuanta naquesss"
"2.0","unotv","juliogonzaleztello","28/04/2024","no era los altos de Jalisco ?","1.0","no era los altos de jalisco?"
"2.0","unotv","elymaya4662","28/04/2024","Pregunta, varias personas mismas de la CDMX tienen diferentes acentos al hablar. Esto cambia por colonias ó secciones de la ciudad?","1.0","pregunta,varias personas mismas de la cdmx tienen diferentes acentos al hablar.esto cambia por colonias c secciones de la ciudad?"
"2.0","unotv","elizabethguillermo8780","28/04/2024","Vamos por Maynez, es el menos peor","5.0","vamos por maynez,es el menos peor"
"2.0","unotv","adrianamayorga3475","28/04/2024","Porque  cronómetro de Xochitl no camina que tramposos pero el sabio calla y esa es Claudia","5.0","porque cronómetro de xochitl no camina que tramposos pero el sabio calla y esa es claudia"
"2.0","unotv","Hackermacker","28/04/2024","y la canasta básica sigue en aumento, y aunque México es autosuficiente en huevo,, la cartera de 30 piezas sigue en 80 pesos , el kilo de tortillas en 22 y así seguirán porque las compañías  toman de pretexto el precio de la gasolina.. de nada sirve que el sueldo suba si las compañías se ahuevan a que aunque la gasolina baje de precio ellos no bajaran los precios de los productos básicos. A huevo ahí se están forrando de dinero.","0.0","y la canasta básica sigue en aumento,y aunque méxico es autosuficiente en huevo,,la cartera de 30 piezas sigue en 80 pesos,el kilo de tortillas en 22 y así seguirán porque las compañías toman de pretexto el precio de la gasolina..de nada sirve que el sueldo suba si las compañías se ahuevan a que aunque la gasolina baje de precio ellos no bajaran los precios de los productos básicos.a huevo ahí se están forrando de dinero."
