"num_debate","canal","username","fecha","comentario","num_likes","comentario_editado","Claudia","Maynez","Ninguno","Xóchitl"
"1","unotv","aidaacosta6941","07/04/2024","Claudia que mujer tan mas insípida. xochitl más fluida para hablar aunque ninguno de los 3 me gustan para presidente. Lástima que en México no tengamos  un candidato como Bukele o un libertario como Javier Milei :(","20","claudia que mujer tan más insípida.xochitl más fluida para hablar aunque ninguno de los 3 me gustan para presidente.lástima que en méxico no tengamos un candidato como bukele o un libertario como javier milei:(","","","",""
"1","unotv","luisasierra6436","07/04/2024","Claudia no puede ser juez y parte en una empresa que trabajaba para el mismo gobierno en cuestión de transparencia","4","claudia no puede hacer juez y parte en una empresa que trabajaba para el mismo gobierno en cuestión de transparencia","","","",""
"1","unotv","viviendosaludable75","07/04/2024","Ese Maynes con sus cartulinas como me cayo gordo","1","ese maynez con sus cartulinas como me cayo gordo","","","",""
"1","unotv","edgarvalenzuela7953","07/04/2024","Pobre xochitl que ardor de hoyo se trae por claudia, en todo el debate lo único que hizo fue echarle jajaja.","1","pobre xochitl que ardor de hoyo se trae por claudia,en todo el debate lo único que hizo fue echarle jajaja.","","","",""
"1","unotv","cardozo409","07/04/2024","untv quita la comferencia de prensa de claudia y aplaude mucho a Xochilt X gonzalez","9","untv quita la comferencia de prensa de claudia y aplaude mucho a xochitl x gonzalez","","","",""
"1","unotv","ElErizo-01","07/04/2024","Esperaba más de Xochitl ️️ No respondía debidamente, en sí no respondía coherente a las preguntas y se la pasaba leyendo","14","esperaba más de xochitl️️no respondía debidamente,en sí no respondía coherente a las preguntas y se la pasaba leyendo","","","",""
"1","unotv","juanmiguelramirez2988","07/04/2024","Preguntarle alos muertos","2","preguntarle a lo muertos","","","",""
"1","unotv","elguisantequenolesabe","07/04/2024","Venga la alegria tiene mas seriedad que este debate","1","venga la alegria tiene más seriedad que este debate","","","",""
"1","unotv","ArturoAlcazar-en1sh","07/04/2024","Deberiam de votar x aquella persona que este dispuesta a darle una buena calidad de vida a los mexicanos en cada estado que pertenecen que no aya esa emigración interna que todos los estados puedan salir adelante con sus pobladores","4","deberiam de votar por aquella persona que este dispuesta a darle una buena calidad de vida a los mexicanos en cada estado que pertenecen que no haya esa emigración interna que todos los estados puedan salir adelante con sus pobladores","","","",""
"1","unotv","josemata1273","07/04/2024","Marcelo porfavor salva este pais","4","marcelo porfavor salva este pais","","","",""
"1","unotv","Jonathan-wo1kb","07/04/2024","1:49","0","1:49","","","",""
"1","unotv","flixer4458","07/04/2024","Oigan díganle al Maynez que no nos quite la beca, tengo que comprar gorras new era q no mame","2","oigan díganle al maynez que no nos quite la beca,tengo que comprar gorras new era que no mames","","","",""
"1","unotv","ivonnerodriguez5273","07/04/2024","Viva Claudia Sheinbaum","17","viva claudia sheinbaum","","","",""
"1","unotv","BlancaDeliaCedilloMedina","07/04/2024","100'/, con claudia","19","100'/,con claudia","","","",""
"1","unotv","bernardinomarquez406","07/04/2024","Estos moderadores hablan como si estuviera el país en tiempos de peña o Calderón.corrupcion ,mala salud,mala educación.transgiversado todo cuando hay muchos avances. Está mal las preguntas en estos debates.","1","estos moderadores hablan como si estuviera el país en tiempos de peña o calderón.corrupcion,mala salud,mala educación.transgiversado todo cuando hay muchos avances.está mal las preguntas en estos debates.","","","",""
