User,arroba,hora de publicación,publicación
Mafer Muval, @mafermuval, None, "VAMOS CLAUDIAAAAAA"
Yarabit Vera, @yarabitvera, None, "SEAMOS SINCEROS CLAUDIA SERÁ COMO PORFIRIO DIAZ, SACARÁ A MÉXICO ADELANTE PERO NO A LOS CIUDADANOS. (Soy morenista 😭)"
Alfonso González, @alfonsogonzalez, None, "xochil"
Mary LP, @marylp, None, "CLAUDIAAA!! YA GANOO!! 🗣🗣🗣"
Teresa Madrid, @teresamadrid, None, "POZOLE DE LAVADERO LIMPIO Y SEGURO"
Bryan Águila, @bryanaguila, None, "morenaaaaa"
Jesus Yael Chavez Olvera, @jesusyaelchavezolvera, None, "YA GANO BROCO VLV 😞"
Jess Monteros, @jessmonteros, None, "HUELE A FRAUDEEEEEEEE"
Nezzza gg, @nezzzagg, None, "Ganó Peñanieto"
Explore Canada, @explorecanada, None, "❤❤❤❤❤ Eliza preciosa!! Hasta se viste como una diosa!! ❤❤❤❤❤❤"
Angelcaido, @angelcaido, None, "VENGO DEL FUTURO GANO CLAUDIA"
Mafer Muval, @mafermuval, None, "SAÚL SIGUE TRAYENDO A CAIFANES POR FAVOR 🗣♥"
Toiycker Creeper, @toiyckercreeper, None, "lloren lo que quieran Prianistas, Morena va a ganar"
Vanessa Itzel Flores Manoatl, @vanessaitzelfloresmanoatl, None, "qlavrga"
Seo Woo, @seowoo, None, "Si gana Xochitl me mudo de país"
Jazmín Jiménez Becerril, @jazminjimenezbecerril, None, "Va a ver fraude hasta las 11:30 según resultados"
1 Gabriel, @1gabriel, None, "XOCHITL PARA LA PRÓXIMA ÉCHALE GANAS. FUEGGGZA CAMPEONA!!!"
Marx Rivas, @marxrivas, None, "Jeremy spoke in class today"
Mafer Muval, @mafermuval, None, "XÓCHILT NO ESTÁ SOPORTANDO LA DERROTA 🗣"
Yolungas Films E. Pahua., @yolungasfilmsepahua, None, "Guacamole Hemp"
Angelcaido, @angelcaido, None, "CLAUDIA GANÓ LA GENERACIÓN 🐀💎"
America Valentina Vertiz Ortiz, @americavalentinavertizortiz, None, "La de rojo bien ardilla. que cheque a qué hora salió Xóchitl con la camarilla a decir que ganaron...??? todavía había sol y ella y la narco banda detrás de ella ya estaban festejando."
Llallanelcra Duran, @llallanelcraduran, None, "Wey, neta los que le van a morena estudien e investiguen!"
DANZEL, @danzel, None, "🐀💎🤓⚫🔴🌭🌭"
Neon Stars, @neonstars, None, "KENDRICK>>>DRAKE"
Kevinjose Caamal, @kevinjosecaamal, None, "Jajaja gana Xóchitl Gálvez jajaja pero unas risas jajaja jajaja jajaja el cara de cuño está llorando el jefe de el América"
Jorgais Mac, @jorgaismac, None, "VAMOS CLAUDIA POR EL BICAMPEONATO"
Sawii Lou, @sawiilou, None, "Se va a caer el sistema del INE y pum va a salir arriba Xóchitl"
Heim, @heim, None, "No tengo amigos morenos, nos movemos en todo terreno 🥶🥶"
Azael Manzanero, @azaelmanzanero, None, "Bye Xochimilco jjaja"
Llallanelcra Duran, @llallanelcraduran, None, "Wey, neta los que le van a morena estudien e investiguen!"
Avril B.E., @avrilbe, None, "Ahí hay algo, que ya digan que ganó Claudia."
Neon Stars, @neonstars, None, "KENDRICK>>>DRAKE"
Gaticristo-2009, @gaticristo2009, None, "QUE PTOS NERVIOS, ALGUIEN ABRÁCEME CARAJO"
Maria Santos, @mariasantos, None, "arriba Claudia"
Kevin Pérez Vázquez, @kevinperezvazquez, None, "Saludos al Maau"
