User,arroba,hora de publicación,publicación
HRobles,@HBollain28734,10:47,"""En respuesta a @Xochitl2024 Chingona! #XochitlGálvezPresidenta24"""
Claudia 🇲🇽,@garcianegrete,10:47,"""En respuesta a @XochitlGalvez Tengo años deseando se iluminen millones de mexicanos para que no se equivoquen. Salvemos a México. Ya votamos, andamos de rosa y vamos a ganar. 💕🇲🇽#XochitlGálvezPresidenta24"""
LiliVero,@LiliVero170770,10:46,"""Voto emitido. Nunca había votado por el @PRDMexico y eso que @ferbelaunzaran es mi amigo, pero @acostanaranjo se ganó el voto. #EleccionesMexico2024 #XochitlGálvezPresidenta24 #SalyVota"""
EDIWAR 1982,@EDIWAR82,10:46,"""Listo! Dije #YoVotaréPorXóchitl y así fue. #XochitlGálvezPresidenta24"""
Eduardo Ayala A.,@sentinelphotomx,10:46,"""Soy feito, un poco sexy pero más que nada SOY XINGON! #XochitlGálvezPresidenta24 #YoyaVoteporXochitl"""
MANUEL MEZA,@mezasm,10:46,"""Nunca vi tanta participación en mis 50 años. Bien por el INE y el IEE Baja California. Todo en orden en Tijuana. #EleccionesMéxico2024 #XochitlGálvezPresidenta24"""
Romeo Oscar ¡ 𝕏,@roipilot,10:45,"""En respuesta a @XochitlGalvez #XochitlGálvezPresidenta24 #XochitlGálvezPresidenta"""
Rocamadeur,@IxzcaCienfuegos,10:44,"""En respuesta a @Claudiashein Qué viva! #VotoXingon #XochitlGálvezPresidenta24"""
Araceli CRZ,@AraceliRZ,10:44,"""En respuesta a @XochitlGalvez Estamos contigo. #XochitlGálvezPresidenta24"""
Lola X,@LolitaNaRo,10:44,"""En respuesta a @DiazGonzalo55 #XochitlGálvezPresidenta24"""
❌ulio,@gamezzoide,10:43,"""#XochitlGálvezPresidenta24 #YoYaVoté"""
Soy Arturo y #MiVotoEsParaXochitl,@Raptour,10:42,"""A chingar a su madre Morena. #MiVotoPorXochitl #XochitlGálvezPresidenta24 #YoVotéPorXóchitl"""
FelipeGC Ciudadano,@FelipeGCmex,10:41,"""Listo. #VotoÚtilXMéxico #XochitlGálvezPresidenta24"""
Mario Blond 🎬,@mariojavier,10:40,"""Porque no hay mal que dure 100 años. Ya se van!! #XochitlGálvezPresidenta24"""
Rodrigo Valverde,@rovalver444,10:39,"""En respuesta a @enriquemunozFM #XochitlGálvezPresidenta24"""
Jose Luis Cáceres,@Jose895860971,10:38,"""En respuesta a @bereaguilarv #XochitlGálvezPresidenta24"""
jack conrad austin,@jackconradausti,10:38,"""¡Todo está consumado! #XochitlGálvezPresidenta24"""
Angel Pantoja,@AngelPantojaG,10:37,"""En respuesta a @LauraMex #XochitlGálvezPresidenta24"""
Hanrahi,@hanniarahima,10:36,"""¿Es legal que en las casillas estén dando lapicero azul en lugar del crayón? Algo no me cuadra. #EleccionesMéxico2024 #XochitlGálvezPresidenta24"""
ALE lo mejor que tenemos es actitud 🌺 🌹💙💙🌼🌻,@AleCE63,10:36,"""En respuesta a @la_grenitas y @MiguelTorrucoG Qué bueno! Vamos a ganar 🇲🇽🇲🇽🇲🇽 #XochitlGálvezPresidenta24"""
Preguntona FIFI Yo? Con Xochitl! ❤️,@MadelPilarCava1,10:36,"""En respuesta a @mario_dico50 Hace 6 años que espero este día! #XochitlGálvezPresidenta24"""
Patrizo,@patyrizo,10:36,"""#XochitlGálvezPresidenta24 Xochitl y Taboada"""
🇩🇰 Antonio Gil 🇩🇰,@Predator_48,10:59,"""Misión Cumplida!!! #EleccionesMéxico2024 #VotaPorMéxico 🇲🇽"""
ﾑdﾉﾚgﾚ乇乙,@AdRiLlEsCaS,10:59,"""Listo ✔️ 🙌🏻🗳️💕#EleccionesMéxico2024 #XochitlGálvezPresidenta24 #MiVotoEsParaXóchitl"""
Luna 🌕 Llena,@libertad5050,10:59,"""Vamos a seguir con la #4taTransformación #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico"""
Angel De La Cruz 🇲🇽,@miguela03102002,10:59,"""#EleccionesMéxico2024 @XochitlGalvez HOY México cambiará su destino hacia El cambio."""
WendyF,@WendyShoskyFree,10:59,"""En respuesta a @Xochitl2024 Mi voto libre pero no secreto 🙏☑️🗳️ #EleccionesMéxico2024"""
Eddy,@Eddy_Barak,10:59,"""Ya quedó @Xochitl2024 esa presidencia es tuya #EleccionesMéxico2024"""
El Sol de Oftalmo,@LMGSauza,10:59,"""Me da mucho gusto ver las casillas desbordadas. Viva la democracia 🇲🇽🗳️ #EleccionesMéxico2024 #XochitlGálvezPresidenta24"""
fifirulaiX,@Fifirulais3030,10:58,"""Estimada clase media: Si no te pones las pilas y sales a votar, para la próxima elección ya no serás clase media. #EleccionesMéxico2024"""
El JC 🇲🇽🇮🇱🇺🇦,@jcmoralespaez,10:58,"""Vida, verdad y Justicia!!! #EleccionesMéxico2024 #XóchitlGálvezPresidenta"""
ChSPm Claudia,@TomasElOdioso2,10:58,"""#EleccionesMexico2024 #YoYaVotePorXochitl #XochitlGálvezPresidenta24"""
A. Magenta,@MagentaHT,10:56,"""De los tres candidatos la que mejor me convenció fue #ClaudiaPresidentaDeMéxico2024. A Maynez le faltó poco para convencerme."""
Naiki,@NaicaMena,10:56,"""En respuesta a @lopezobrador_ #AmloEsLaFuerzaDelAmor ❤️ #EleccionesMexico2024"""
Ovejuelafeliz 🗽🕎✝️❤️‍🔥,@ovejuelafeliz,10:55,"""Xochitl, presidenta, es 4to lugar en tendencia nacional 😍 #EleccionesMéxico2024 #XóchitlGálvezPresidenta"""
Monte❎🕊️,@montes_jr,10:54,"""Mi granito de arena @Xochitl2024 #YoVotarePorXóchitl #EleccionesMéxico2024 #XochitlGálvezPresidenta24"""
Eduardo Molina,@ed_moliin,10:54,"""Un voto de agradecimiento a AMLO. Un voto en conciencia por México. La 4T Va!!!! Al rato todos al zócalo!!!! #EleccionesMéxico2024 #ClaudiaArrasará #PlanC_YaEstáEnMarcha"""
Oscar San Luis,@oscar_slsl,10:54,"""Por mi parte ... @PartidoMorenaMx te puedes ir de puntitas a chtpm 🗳️ #XóchitlGálvezPresidenta #VotaPorMéxico #EleccionesMéxico2024"""
Kon Kau Chuey • 徐 光 球,@konkauchuey,10:53,"""SALGAN A VOTAR POR TODOS AQUELLOS IRRESPONSABLES COMO YO QUE NO CUIDARON SU INE Y LA DEJARON PERDER. #EleccionesMéxico2024 #VOTA #4T"""
La Jija,@laJijasoy,10:53,"""¡Mexicanos! ¡Afortunadamente las filas son largas! Aunque tengamos que esperar horas para votar. #XochitlGálvezPresidenta24 #EleccionesMéxico2024"""
Pepe le Bull,@PepeLeBull,10:53,"""En respuesta a @REPORTINQUIETO y @XochitlGalvez Acá el mío. @SandraCuevas_ pedi mi apoyo y así se lo di. #EleccionesMexico2024"""
Omg,@amps7x,10:52,"""Ya voté por ti @XochitlGalvez @STaboadaMx #EleccionesMéxico2024 no nos defrauden."""
Arturo R,@aredingb,10:52,"""Para que continúe el Segundo piso de la transformación de la vida pública de México 🇲🇽. Mi voto 🗳️ fue todo MORENA. #EleccionesMéxico2024"""
Germán Castro 🖌 Yo de grande quiero ser textólogo,@gcastroibarra,10:50,"""#TiempoDeMujeres #ClaudiaArrasará #ClaraBrugadaJefaDeGobierno #EleccionesMéxico2024"""
Erick Gómez C,@ergomezc30,10:50,"""Vamos con todo… #XochitlGálvezPresidenta24 #EleccionesMéxico2024 #VotoMasivoPorXochitl"""
El Dr que no usa bata 👨🏻‍⚕️🇲🇽,@Dr_Sebastian_Ro,10:49,"""Como debe ser #EleccionesMéxico2024 #XochitlGálvezPresidenta24"""
Fernanda Molina🐑🐕,@Mafer_26,10:47,"""¡Que siga la transformación!🫰#EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico"""
Frank Lindero,@LinderoXavier,10:47,"""Recuerden no dejen de votar para que @XochitlGalvez sea la presidenta de México. #XóchitlGálvezPresidenta #EleccionesMéxico2024"""
serah Rodri,@RodriSerah12521,10:45,"""Cumplimos con nuestro deber ciudadano, tres votos para Xóchitl.😀😄 #XochitlGálvezPresidenta24"""
El Amputazurdos 🪓,@androrush,10:45,"""Ni un voto a las ratas de Morena. #EleccionesMéxico2024 #XochitlGálvezPresidenta24"""
Ricardo Alemi,@Ricardo_Alemi,10:44,"""¡Vamos a votar! #YoVotéPorXochitl #XochitlGálvezPresidenta24 #EleccionesMéxico2024"""
cinemusicmexico,@cinemusicmexico,10:44,"""Mi voto por la futura Presidenta @Claudiashein #EleccionesMéxico2024"""
Aletse,@nflera27,10:43,"""Ella es el rostro que representa a millones de mexicanos #YoVotarePorXóchitl 🤞🏻🩷 #EleccionesMéxico2024"""
Ricardo Garufo,@garufo1,10:42,"""#EleccionesMéxico2024 #morena #PlanCYaEstaEnMarcha"""
Tío Seco 🇲🇽⚽,@TioSeco,10:41,"""Xochitl Gálvez no está sola! Hay un chingo de pendejos que la siguen... 🤣 #EleccionesMéxico2024 #XochitlGálvezPresidenta24"""
